completion	prompt
It was me! You fell for it!	Uh, no, not really. Someone seems to have slipped one of those novelty ice cubes with a fake fly in my drink.
You should see the look on your face. It's priceless.	Please Dad.
Bart! Come over here.	You should see the look on your face. It's priceless.
You little monkey... you're a little monkey, aren't you?	What?
Bart, do that thing you do that's so cute.	Yes sir.
That thing you know how to do.	What?
Go to bed.	What?
Hey, everybody! Look, I'm the funniest guy in the world!	Go to bed.
I've been wantin' to tell you off for years, but I've never had the nerve.	Oh, Homer, you're the king!
You stink! You and your whole lousy operation stinks! I quit!	Homer, I don't know you. My wife and your wife are friends. We met just three hours ago.
All right then.	Uh, gee Homer, don't quit...
Could you... give me a handful of peanuts... Maude?	All right then.
Not those peanuts. The ones at the bottom.	Oh sure.
Why? What'd you do?	I have never been so embarrassed in my life.
Marge!	Why? What'd you do?
Where-where are we going?	Come here!
The way I acted?	Homer, do you remember the way you acted at the party last night?
So I said: I must get out of these wet clothes and into a dry martini.	The way I acted?
I put it there.	Good lord! There's a fly in my drink!
I slipped it into your glass as a gag.	You did?
I'm sorry, honey. Can't we just forget it and go to church.	Homer, I like to think that I'm a patient, tolerant woman, and that there was no line you could cross that could make me stop loving you. But last night, you didn't just cross that line, you threw up on it!
No, I didn't... I... Oh, you mean inside, don't you?	I'm going to church alone today. You're going to stay here and explain to Bart why you scarred him for life.
About last night... you might have noticed Daddy acting a little strange and you probably don't understand why.	No, I didn't... I... Oh, you mean inside, don't you?
I admit it. I didn't know when to say when. I'm sorry it happened and I just hope you didn't lose a lot of respect for me.	I understand why. You were wasted.
Aw.	Dad, I have as much respect for you as I ever did or ever will.
Marge, Marge.	"Now before I give you all a sneak preview of next week's sermon, I have some announcements to make. We have some new pamphlets available in our church newsrack including ""Bible Bafflers"", ""Satan's Boners,"" ""Good Grief! More Satan's Boners"" and, for the teens, ""It's Not Cool To Fry In Hell."""
Sorry, Reverend.	I'm sorry. The Lord and I can't compete with the squeaking of Homer Simpson's shoes. Why don't we just put everything on hold until he takes a seat?
Hmmmm.	... or those just in need of a tune-up.
Oh, well, it's very tempting. Really a wonderful idea.	Will the Simpsons be attending our little retreat?
Marge! What are you doing? Are you insane?!	Oh, well, it's very tempting. Really a wonderful idea.
They're holding it at Catfish Lake. They couldn't call it Catfish Lake if it didn't have a catfish in it.	Now you wanna go?
Oh dear. If we can't find a babysitter, we can't go. What a kick in the teeth.	Oh my. Where are we supposed to get a sitter on such short notice?
No, you don't!	Don't take that tone with me, young lady, or I'll give you a taste of the back of me hand.
Marge, just puttin' a few last things in the trunk.	Oh sure. Last resort... Old Grampa, the feeb. The guy who can't be counted on for nothing, no how, dagnabit. Everyone's agin me. I'll do it.
Hmmm, bait.	Uh huh .. Uh-huh... You're allowed smoke cigars?
Whoa, better get some gas.	Hmmm, bait.
Fill 'er up. I guess I'll go and stretch my legs.	Whoa, better get some gas.
Catfish Lake.	Where ya headed?
Wait, wait a minute... wait a minute. Who's General Sherman?	Oh, after General Sherman, are ya?
Oh yeah.	He's only the biggest catfish in these parts...
Whoa, who says that?	... they say he weighs upwards of five hundred pounds.
Oh.	They do.
Hmmmm. Gentlemen: I am going to catch General Sherman!	Now, that there's the only known picture of the General. Can't see what he is, exactly. He's freakishly big, though.
None of your business, Flanders.	Why, Homer Simpson! Here to give your marriage a little spit shine?
Uh say... uh... Reverend... are we gonna get a chance to do any fishing?	None of your business, Flanders.
Oh.	Oh, I'm afraid not. A marriage can't be reconciled in a few hours, Homer. It takes a whole weekend to do that.
I see. I also understand bowling expressions.	We must bait our hooks with honesty. That way a happy marriage won't be the one that got away.
Lucky you don't keep guns in the house.	Sometimes Maude, God bless her, she underlines passages in my Bible because she can't find hers.
Ohhh, because I got drunk and looked down her dress.	Homer, why are you here?
She's perfect.	No, no, Homer. Marge is going to tell us all your faults. Why don't you tell us about hers?
Well, sometimes that can be annoying.	Come on, Homer. What are her faults?
I'm done.	Now, Marge. Don't interrupt. You'll get your turn.
It's true. It's all true.	He forgets birthdays, anniversaries, holidays -- both religious and secular -- he chews with his mouth open, he gambles, he hangs out at a seedy bar with bums and lowlifes...
Sorry.	Homer, don't interrupt.
I only did that a couple of times.	He blows his nose on the towels, and puts them back in the middle...
Out at five, catch General Sherman at five-thirty, clean him at six, eat him at six-thirty, back in bed by seven with no incriminating evidence. . The perfect crime.	It's no use kidding myself. I'm having an ethical crisis.
Would this be a good time to be honest?	Homer, you're sneaking out to go fishing? I can't believe your selfishness. You can go fishing anytime, but we're here trying to save our marriage. You're thinking about fishing, even when I'm talking... right now. Right?
You're right, I am. Help me, Marge. What do I do to be a good guy?	Yes.
No.	Get back in bed.
All right. But I can't sleep. Can I take a walk?	No.
Gotta be a good husband... Gotta be a good husband... Gotta be a good husband.	Sure.
Hey, kid! You forgot your... WHOA!	Gotta be a good husband... Gotta be a good husband... Gotta be a good husband.
Go ahead, General Sherman! Waste your strength, you big ugly catfish. I gotta skillet and a stick of butter with your name on it.	Hey, kid! You forgot your... WHOA!
Good! Give up!	For the last time, yes!
Huh?	Good! Give up!
Okay, fish, you're probably wondering why I'm still here. Catching you will make me the most famous fisherman there is, right up there with... that... the a... bald guy on that cable fishing show.	That the Yanks are comin'...
Whoa! Holy mackerel!	Okay, fish, you're probably wondering why I'm still here. Catching you will make me the most famous fisherman there is, right up there with... that... the a... bald guy on that cable fishing show.
I love you, but I must kill you.	Doggone it!
I AM THE CHAMPIONS / I AM THE CHAMPIONS / NO TIME FOR LOSERS / CAUSE I AM THE CHAMPIONS / OF THE WORLLLLD!	You grab a bucket and a brush and clean harder and faster than you ever have before.
Uh, oh.	I AM THE CHAMPIONS / I AM THE CHAMPIONS / NO TIME FOR LOSERS / CAUSE I AM THE CHAMPIONS / OF THE WORLLLLD!
Hi, honey. Uh, oh. How's the marriage retreat going?	Uh, oh.
Marge, you don't know what this fish means. This fish represents a better life for both of us. This fish makes me a champion and a hero.	We came to this retreat because I thought our marriage was in trouble, but I never for a minute thought it was in this much trouble. Homer, how can you expect me to believe....
To those weirdos in the worm store.	To who?
Well, if that's the way you feel... I'll throw it back.	All this fish represents is just how selfish you are.
Watch.	Oh yeah, sure.
Wow, I did it! I gave up fame and breakfast for my marriage. I fought it for six hours. She says one word and I toss it back. And you're telling me our marriage is in trouble? Come here, baby.	Watch.
We're back!	Ohhh, Homer.
Same as usual. Perfectomundo.	How's your marriage?
I never knew what Superman saw in her. Give me Wonder Woman! And that golden lariat. She can tie me up any time.	Ohhh.
I was just kidding, Marge. Hey, what does everyone say to dinner at Krusty Burger? My treat!	Homer!
All right, what are you getting at?	All right, Homer. Whoa, you really are a sport, Dad, taking us out to a fine restaurant like Krusty Burger!
A hundred bucks?! For a comic book? Who drew it, Micha-ma-langelo?	I need a hundred dollars for a comic book.
Well, t.s.	Oh please, Dad. I want this more than anything in the world.
No.	Please Dad.
No.	Please Dad.
No.	Please Dad.
No.	Please Dad.
No.	Please Dad.
No.	Please Dad.
No.	Please Dad.
No! Now, look, son, we all know that usually when you bug me like this, I give in, so I'm not mad at you for trying. It shows you've been paying attention. But we all know I'm not gonna give you a hundred dollars. Now are you gonna stop bugging me?	Please Dad.
Are you?	No.
Are you?	No.
Are you?	No.
Are you?	No.
Are you?	No.
Are you?	No.
Are you?	No.
Are you?	No.
Are you?	No.
Are you?	No.
Hee hee, I win! In your face! Yeah! How do you like them apples? Woo hoo hoo!	Okay.
Bart! What are you staring at?	Get a job! Were they serious? I didn't realize it at the time, but a little piece of my childhood had slipped away... forever.
Bart! Stop it!	He didn't say it, and neither did I, but at that moment my dad and I were closer than we ever...
Hey, what's all the --	So long, officers. Uh-oh.
My beer... my beer... my beautiful beer.	Hey, what's all the --
What's the problem, boy?	Moon pies, my butt... Somebody oughta moon pie her...
Hey, when I was your age, fifty cents was a lot of money.	I've been bustin' my hump all week for that withered old clam, and all I got was fifty cents.
Nah.	Really?
Son, I'm proud of you. I was twice your age before I figured that out.	Dad, I've done everything I could and I've only got thirty-five bucks. Ugh.. I am through with working. Working is for chumps.
They're fine.	Homer, it's really coming down. Could you check on the boys?
Joke's on them. If the core explodes, there won't be any power to light that sign.	Ah, Chief Wiggum, Archbishop McGee, distinguished guests. I am pleased to dedicate this emergency warning system. In the uh, off chance of a nuclear disaster, this sign will tell you, the good citizens of Springfield, what to do.
How many hairs on my head? Without looking!	Smithers, don't feel so bad. After all, that kidney you donated to me really hit the spot.
I can't believe you guys. There's a human being out there with millions of dollars who needs our help. And you don't wanna cash in? That's why you losers are stuck in this crummy, dead end job.	I don't wanna.
Sorry, sir.	You know, Homer, I am your supervisor.
Marge! Marge! What's my blood type?	It's like an ox, only it has a hump and a dewlap. Hump and dew-lap. Hump and dew-lap.
Aw, nuts! Extremely rare blood and I don't have it.	A-Positive.
Earmuffs.	Sixteen permanent, eight baby.
Aw, old man Burns is gonna kick off if he doesn't get some Double-O-Negative blood, but nobody at the plant has it.	Oh, Homie, you have lots of hair... Why did you want to know your blood type?
Woo! Yes! All right! Woo! Congratulations, boy! You've got a date with a needle!	Bart does.
Yeah, you have the right to remain silent.	Hey, wait a minute. I don't have to give blood. I have rights, you know.
Yeah, probably. Anyway, once upon a time there was a big mean lion who got a thorn in his paw. And all the village people tried to pull it out, but nobody was strong enough. So they got Hercules, and Hercules used his mighty strength, and bingo. Anyway, the moral is, the lion was so happy, he gave Hercules this big thing of riches.	Is it a Bible story?
It was the olden days!	How did a lion get rich?
Hey, let's go! Emergency! Life-or-death here!	Oh.
Now let's get the show on the road.	Oh yeah! During the day, all my friends are in school, so I got a job as a Certified Bloodletting Tech Dude.
Eh.... the boy.	Homer, brave young Bart. I don't know which one to hug first.
Mr. Burns... he's okay! Jackpot!	Oh, hey, there, Mr... Brown Shoes! How about that local sports team? Hm?
Bill... Bill... Summons... Bill... Wait a minute. From C.M. Burns? Is this it? Yes, this is it! Woo-hoo! Woo!	Well, the Simpsons will be getting a very nice surprise in the mail. Very nice, indeed.
Marge! Lisa! Maggie! Let's do this out in the yard where the neighbors can see!	Bill... Bill... Summons... Bill... Wait a minute. From C.M. Burns? Is this it? Yes, this is it! Woo-hoo! Woo!
Lisa, dim the lights! No, turn on more lights! But do something!	Marge! Lisa! Maggie! Let's do this out in the yard where the neighbors can see!
It's a little thin, but that's okay, could be a check.	Yes, Dad.
"""Better half,"" Marge. ""Better half."""	The meaning of what?
"All right, there's no check, just a card. But don't panic. I'm sure it tells us what we're getting and where we can pick it up. ""Dear Bart... Thank you kindly for the blood. Yours truly, Montgomery Burns."" It's just a card!"	"""Better half,"" Marge. ""Better half."""
This is some way to show your gratitude. No gold. No diamonds. No rubies. Not even a lousy card. Wait a minute, there was a card. That's what got me so mad in the first place.	"All right, there's no check, just a card. But don't panic. I'm sure it tells us what we're getting and where we can pick it up. ""Dear Bart... Thank you kindly for the blood. Yours truly, Montgomery Burns."" It's just a card!"
Marge, you're my wife and I love you very much. But you're living in a world of make-believe. With flowers and bells and leprechauns, and magic frogs with funny little hats...	Homer, you don't do things like that to be rewarded. You do them because a fellow human being needs a helping hand.
Bart!	Yeah, Mom. We got hosed!
I promised my boy one simple thing: Lots of riches. And that man broke my promise. Well, I've had it! Bart, take a letter.	We got exactly what we wanted out of this: We gave an old man a second chance.
"""Dear Mr. Burns. I'm so glaaad you enjoyed my son's blood. And your caard was just great. In case you can't tell, I'm being sarcastic. You stink!"" Could you read that last part back to me?"	I promised my boy one simple thing: Lots of riches. And that man broke my promise. Well, I've had it! Bart, take a letter.
"Good. ""You are a senile, buck-toothed old mummy with bony girl arms... and you smell like..."""	You stink.
An elephant's butt.	An elephant's butt?
Yup!	But he's your boss. Do you have to mail it right this minute?
Forget it, Marge!	You're still angry, Homer. Why don't you sleep on it?
Oh, all right. You always do that hand thing! And it usually works.	Please, Homie? For me?
Cheap son-of-a...	Oh, all right. You always do that hand thing! And it usually works.
Hmmm...	Homer... Breakfast is ready.
Oh, Marge, you saved me from making a big mistake. Y'know, I finally understand the meaning of mmphm hnmph.	Hmmm...
Where's the letter?	Oh... thank you.
Where is it?	Where's the letter?
Well, it's somewhere! It didn't just get up and walk away!	Homer, I don't think it's in the cornstarch canister.
Bart, have you seen the letter?	Well, it's somewhere! It didn't just get up and walk away!
All right, think very carefully. Where did you see it last?	Yup.
Uh huh.	The last place I saw it...
Yeah...	...was in my hand...
Why did you do that?	...as I was shoving it into the mailbox.
I'll show you mad in the morning.	Dad, there were things in the letter that had to be said. And I know you. You're an emotional guy. Just because you were mad last night, is no guarantee you'd be mad in the morning. So I...
She's right. Okay, think, Homer. Don't panic. They don't pick up the mail till noon. There's still time!	Homer, you encouraged him. You should be strangling yourself.
Ow. Ow. Ow. Ow. Ow. Ow. Ow.	She's right. Okay, think, Homer. Don't panic. They don't pick up the mail till noon. There's still time!
Locked, eh? Well, I just might have a little surprise up my sleeve for old Mr. Lock. Step aside, boy.	Give it up, Homer. It's locked up tight.
What does it look like? I'll get our letter so wet, the ink will run and no one will be able to read it.	Why the hose, Homer?
"So a few people won't get a few letters. Boo-hoo. You know the kinda letters people write: ""Dear Somebody-You-Never-Heard-Of... How is So-and-So? Blah blah blah blah blah blah blah. Yours truly, Some Bozo."" Big loss."	Yeah, but don't other people have mail in there?
Now Bart, you keep an eye out for the mailman. Just give me some kind of signal.	"So a few people won't get a few letters. Boo-hoo. You know the kinda letters people write: ""Dear Somebody-You-Never-Heard-Of... How is So-and-So? Blah blah blah blah blah blah blah. Yours truly, Some Bozo."" Big loss."
That's a good one. We'll use that.	Dad, the mailman is here.
Uh, uh I-I guess it wouldn't do any good to run, 'cause you're our mail lady and you know my name and address and everything, huh?	Dear God! Are you planning to water the mail?
Well, I'm still gonna run!	That's right.
Hello, my name is Mr. Burns. I believe you have a letter for me.	Well, Countess Van Zeplin and I... What in blaze... Now you listen to me, you bargain basement Baudelaire. I'm not some dizzy starlet who can't string two words together. I can write this thing myself. You're fired.
I don't know.	Okay, Mr. Burns. What's your first name?
Great plan, Bart.	I don't know.
Lisa, I don't know what you're doing, but it's very strange and your father is trying to worry.	Ooh, look, Maggie, what is that? Do-dec-ah-edron. Dodecahedron.
Oops.	"""Chapter the Fifth... A Trip to the Infirmary, With Most Unexpected Results."""
Twenty eight minutes till Burns comes. Time for operation Mail Take.	Oops.
Homer Simpson.	Oh, don't be frightened of this. It's nothing but a letter opener. Who are you?
Yeah, well I'll be on my --	"Simpson, eh? Simpson. Oh, why, there's a letter here from you. I'll just read it right now. ""Dear Mr. Burns. I'm so glad you enjoyed my son's blood. And your card was just great."" Why, Simpson. You've made my day. You're a true gentleman."
Hey, c'mon, Joey! Do you have to twist my arm?	"""...you stink, you are a senile, buck-toothed..."" ""...old mummy... with bony girl arms and you smell like an elephant's butt!"""
Oh, I've never seen Mr. Burns this mad and he's always kinda mad.	Nothing, sir.
Okay, here's the plan. You can move in with your sisters and raise the kids. And I'll... die in a gutter. It's practical and within our means.	Honey, what's done is done. No matter what happens, we'll pull through. We always do.
I got my problems, Moe. Give me another one.	What's the matter Homer? You're not your normal effervescent self.
Oh, woe is me.	Don't you dare sully this moment with your price taggery! It's perfect!
Mr. Burns, you brought us a present.	Wait, Dad, he's smiling.
What did I tell you? I'll bet it's filled with diamonds, rubies, sapphires, pearls...	It's to open the crate, stupid.
Marge, what does it do?	No, Maggie. Not Az-tec. Ol-mec. Ol-mec.
Marge! Really, what does it do?	It doesn't do anything.
Save a guy's life, and whattaya get? Nothin'! Worse than nothin'! Just a big, scary rock.	Sir, you're my god of generosity.
Wait a minute. If I hadn't written that nasty letter, we wouldn't have gotten anything!	"Well then, I guess the moral is, ""No good deed goes unrewarded."""
Exactly. It's just a bunch of stuff that happened.	Perhaps there is no moral to this story.
Amen to that!	But it certainly was a memorable few days!
Who stole my shirt? Who stole my shirt?	I tried to stop her but she overpowered me.
Oh thank you, Marge -- Pink?	I washed it.
Marge, I can't wear a pink shirt to work. Everybody wears white shirts. I'm not popular enough to be different.	Oh thank you, Marge -- Pink?
Oh, gimme, gimme, gimme, gimme, gimme!	Now Homer, don't panic. You have plenty of white shirts.
Oh no... Pink. Pink! PINK! It's all over, Marge. It's all over.	Oh, gimme, gimme, gimme, gimme, gimme!
You! You did this to me!	Ah, my lucky red hat. Clean as a whistle!
Mmm, thanks -- It looks... Hey, wait a minute! Just because I'm wearing a pink shirt, it doesn't mean I'm some kind of a... pink doughnut-eater! Although it is tempting --	It has pink frosting!
You don't understand... my son just threw his red hat in with the white laundry...	Let's go, Pinky.
Print name?	"Well, Monty, it used to be that establishing a patient's sanity took months. That's all changed, thanks to the ""Marvin Monroe Take Home Personality Test."" Twenty simple questions that will determine just how crazy or meshuggenah, someone is."
Honey, do me a favor. Fill out this form.	Print name?
All right, all right. I'll get Lisa to do it.	Homer, this is an intimate psychological profile. I can't fill this out for you.
Lisa, you like homework. Could you fill out this form for me?	All right, all right. I'll get Lisa to do it.
O-kay.	Well, all right -- if you listen to the poem I just wrote.
No deal.	Meditations on turning eight, by Lisa Simpson. I had a cat named Snowball -- She died, she died! Mom said she was sleeping -- She lied, she lied! Why oh why is my cat dead? Couldn't that Chrysler hit me, instead? I had a hamster named Snuffy -- He died, --
Son, it's no different than the time I let you vote for me. Remember that absentee ballot?	Dad, maybe you should do this.
Look at him!	"""Dog on Fire."" Ruff! Anybody order a hot dog?"
Awww.	"And finally, ""Baby With A Nail Gun."""
Dog on Fire! Dog on Fire!	Okay, it's time to cast your votes now.
Yes, I'm hearing one right now, while I'm trying to watch TV.	"Hey, Dad. ""Do you hear voices?"""
Bart! Shut up or I'll shut you up!	"Yes. ""Are you quick to anger?"""
So, did I pass?	"Yes. ""Do you wet your pants?"" Well, even the best of us has an occasional accident."
The devil with his fly open.	Careful, men. He wets his pants.
That's a spill on a floor with bugs goin' after it. They're gonna eat it.	Right...
Arrghh!	Good...
Who are you?	Put him in with the big white guy who thinks he's a little black guy.
I'm Homer Simpson, from the Simpsons.	Hi. I'm Michael Jackson, from the Jacksons.
Oh, of course I've heard of you. I mean you'd have to be living under a rock not to know -- what'd you say your name was?	I can't believe you've never heard of me. I'm a very popular entertainer.
Doesn't ring a bell.	Michael Jackson.
What was that last one?	Thriller?
Nope.	Thriller.
Wow. How do you do that thing with your feet?	Well, how about this? BILLIE JEAN IS NOT MY LOVER / SHE'S JUST A GIRL WHO SAYS THAT I AM THE ONE / BUT THE KID IS NOT MY SON. HEE, HEE, HEE!
No, that thing with your feet.	The moonwalk?
Because I wore a pink shirt.	You seem like a nice guy. Why'd they put you in here?
What'd you wear?	I understand. People thought I was crazy for the way I dressed.
Bbl--bbl--bbl--bbl--	One white glove, covered with rhinestones.
Hey, Michael, I don't get it. These guys seem as normal as you and me.	Hey, you want that once a year empty gesture. You got it, sis.
Okay. Five times nine.	Homer, this is Floyd. He's an idiot savant. Give him any two numbers and he can multiply them in his head, just like that.
Wowww.	Forty-five.
Hey, Chief.	We call this guy the Chief. He's been here since 1968. Never says a word, never moves a muscle.
Gee, I gotta call my family.	Well, it's about time somebody reach out to me.
Oh, this is so embarrassing, calling 'em from a nut house. I mean, they think I'm a god.	Gee, I gotta call my family.
Oh great! And uh, try to put a good face on this. Tell them this is one of those places where rich women lose weight.	I could call them for you.
That's all right, son.	Hmmmm, lobotomy...
What's that?	Forget it, pal, there's only one way out of here and it ain't pretty.
This place is so strange. Mike, I'm ashamed to admit it to another guy, but I'm... scared.	What's wrong, Homer?
Pancakes... football... Boobies...	HOMER, THE TWO OF US NEED LOOK NO MORE / WE BOTH FOUND WHAT WE WERE LOOKING FOR / WITH A FRIEND TO CALL MY OWN / I'LL NEVER BE ALONE / AND YOU MY FRIEND WILL SEE / YOU'VE GOT A FRIEND IN ME.
Was the door locked?	Okay, so I was working at an insurance company, right? Huh! Youngest VP in the history of the firm. Okay? The job was my life. Then one Monday morning, I got up and I couldn't leave the house. I just couldn't.
Was it raining?	No, I just couldn't face what was out there.
Were you out of gas?	Thank you. Anyway, that day I knew I-I just couldn't make that long drive to work.
Baby.	Were you out of gas?
Mmm... pancakes.	You mean there really is a Bart? Good Lord!
That's the most flattering thing anyone has ever said to me. Could I have it in writing, please?	Mr. Simpson, after talking to your wife, we believe you're no threat to yourself or others.
Not insane.	Of course.
Thanks a lot, Michael. You really helped me get through this. If you ever find your marbles, come visit us.	I'm proud of you, Homer.
You are? Why?	Well, how about today? I'm only here voluntarily.
Boy, when I get home, I'm going to wrap my hands around your neck --	Joe's Taxidermy. You snuff 'em, we stuff 'em.
-- And smother you with kisses.	Boy, when I get home, I'm going to wrap my hands around your neck --
Now listen. I'm bringing Michael Jackson home to stay with us for a few days... Isn't that cute -- he's heard of you! Now, make sure we have plenty of cold cuts, and put some beer on ice.	Homer, whatever they've got you on, cut the dose.
Are you sure you're here voluntarily?	Um Homer, I'm a vegetarian. And I don't drink.
Thanks everybody! It's great to be sane.	And the guy in the pink shirt is the father of the family who, it turns out, was just released from a mental hospital.
Here he is! Here's the guy you wanna see.	Thanks everybody! It's great to be sane.
Huh? Huh?	Huh?
Come off. I'm sane now.	I thought so. Oh, Bart, you...
Not me. I got this.	This is my real voice. My name is Leon Kompowski and I'm a brick layer from Patterson, New Jersey. All my life I was very angry until one day I just talked like this. All of a sudden everybody was smiling at me, and I was only doin' good on this earth, so I kept on doin' it. To make a tired point. Which one of us is truly crazy?
"Stupid junk mail... ""You May Have Already Won!"" Yeah, win this... ""Here's Good News for Homer Simpsoy""... I'll see that he gets it. How dumb do they think I am?"	Oooh!
Huh? A check?	"Stupid junk mail... ""You May Have Already Won!"" Yeah, win this... ""Here's Good News for Homer Simpsoy""... I'll see that he gets it. How dumb do they think I am?"
One Million dollars? I'm rich!	Huh? A check?
Oh yeah? Well, what makes you so damn sure?	"Mr. Simpson, I can assure you this ""check"" of yours is non-negotiable."
Shut up.	"You see where it says ""VOID-VOID-VOID"" and ""This Is Not A Check""? ""Cash value one twentieth of a cent""? ""Mr. Banker, do not honor."""
I had a feeling it was too good to be true. Every time you get a million dollars something queers the deal.	Shut up.
Marge, I never read a magazine in my life and I'm not gonna start now.	Well, at least we got a free sample of Reading Digest.
Hey, a cartoon.	Marge, I never read a magazine in my life and I'm not gonna start now.
"""Well dear, you always wanted a compact."" -- Ain't it the truth."	Hey, a cartoon.
Oh, Marge. Cartoons don't have any deep meaning. They're just stupid drawings that give you a cheap laugh.	No, it is not the truth, Homer. It's well documented that women are safer drivers than men.
Nah, you go ahead.	Hey, Einstein. Put down your readin', it's lunchtime.
"As Tolstoy said in ""Quotable Notables,"" ""Give me learning, sir, and you may keep your black bread."""	Hey, You don't wanna eat? What'd ya do, get one of them stomach staples?
Marge, look at them staring at that idiot box. God forbid they would ever read something and improve their minds.	But irrigation can save your people, Chief Smiling Bear.
"Ooh... How about the ""V""?"	Important.
It's not just one magazine, Marge. They take hundreds of magazines, filter out the crap, and leave you with something that fits right in your front pocket.	"Ooh... How about the ""V""?"
Those kids don't know what they're missing.	It's not just one magazine, Marge. They take hundreds of magazines, filter out the crap, and leave you with something that fits right in your front pocket.
We're all gonna sit down as a family and listen to an inspiring story of wilderness survival.	Hey, what gives, man?
"""Then I heard the sound that all Arctic explorers dread: The pitiless bark of the sea lion."" He'll be killed!"	We're all gonna sit down as a family and listen to an inspiring story of wilderness survival.
Don't be so...	Homer, he obviously got out alive if he wrote the article.
Oh, you're right.	Don't be so...
Hmph?	Homie... Put down your magazine for a minute...
"That reminds me! ""Seven Ways To Spice Up Your Marriage."""	I thought you might want to snuggle.
Marge, you have a nice body. And if you'd like to see me in a costume, you have only to ask.	"That reminds me! ""Seven Ways To Spice Up Your Marriage."""
Where do you think? This baby never steers you wrong. And it was free. Free!	Where did you get the idea for this, Mom?
"Wow! ""Win a Trip to Washington D.C.""! ""All expenses paid... VIP tour""... Oh. It's for kids."	It certainly has enriched our lives.
Ooh... And Miss? Just one more question --	Very.
Sweetheart, there's nothing I wouldn't do for that magazine.	Thanks for driving me to the contest, Dad.
YEAH! Damn right!	"""So burn the flag if you must. But before you do, you'd better burn a few other things. You better burn your shirt and your pants. Be sure to burn your TV and car. Oh yes, and don't forget to burn your house. Because none of those things could exist without six white stripes, seven red stripes, and a hell of a lotta stars."" Thank you very much."
Uh-uh.	Are you a professional writer?
Woo hoo! Who would've guessed reading and writing would pay off?	Lisa, after meeting your father, I've decided to award you an additional five points. Congratulations. You and your family are going to Washington!
